	MH1	MH2	MH3	MH4	MH5	MWS.H1	MWS.H2	MWS.H3	MWS.H4	MWS.H5	MWS1	MWS2	MWS3	MWS4	MWS5
D_0__Bacteria;D_1__Acidobacteria	0.0	0.0	0.0	0.0007651109410864575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00044894294343318913	0.0
D_0__Bacteria;D_1__Actinobacteria	0.0	0.010559577616895324	0.01857548036591699	0.0372488221318407	0.004406176732152963	0.005425172801800353	0.003931953137538116	0.022265482418785742	0.01206184732453655	0.0006423381107230319	0.00020431513566525008	0.0	0.0003320466525546839	0.0014692678148722554	0.007709695648663922
D_0__Bacteria;D_1__Bacteroidetes	0.0019010637867572706	0.005279788808447662	0.004673830543682339	0.03426891636129344	0.01572479586061929	0.020334351390451696	0.0006419515326592842	0.0395425234213408	0.0005666639682668178	0.007989080252117708	0.2558025498528931	0.18588603843874354	0.15240941352259993	0.1775365276303975	0.011867280213126665
D_0__Bacteria;D_1__Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006448473050249422	0.0	0.0	0.0	0.00046566759800186267	0.0	0.0	0.0015338661499959636
D_0__Bacteria;D_1__Cloacimonetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017432449259120906	0.0	0.0
D_0__Bacteria;D_1__Cyanobacteria	0.001334789467297658	0.002799888004479821	0.00011984180881236767	0.005677928562799501	0.01835233244401326	0.016074586079408454	0.023070133204943027	0.000486677211339579	0.0011333279365336355	0.0	0.0014710689767898006	0.04229108458216917	0.0033204665255468393	0.007795282017794466	0.004924517639460725
D_0__Bacteria;D_1__Dependentiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005926678520023706	0.0	0.0	0.0
D_0__Bacteria;D_1__Epsilonbacteraeota	0.0	0.0003199872005119795	0.0	0.0004026899689928724	0.0	0.0	0.0	0.0006489029484527721	4.0475997733344126e-05	0.0028102292344132644	0.0021657404380516507	0.000508001016002032	0.09728966919852239	0.0004081299485756265	0.0006862032776297732
D_0__Bacteria;D_1__Fibrobacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004380094902056211	0.0	0.0	0.0	0.0	0.002614867388868136	0.0	0.0
D_0__Bacteria;D_1__Firmicutes	0.0	0.010679572817087316	0.0024767307154555987	0.01502033584343414	0.010065486296386126	0.011895193698762256	0.002688172043010753	0.03556799286206757	0.003116651825467498	0.0	0.0021248774109186006	0.003894674456015579	0.0017017390943427553	0.0020406497428781326	0.0006458383789456688
D_0__Bacteria;D_1__Fusobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0008024394158241052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0024875621890547263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Kiritimatiellaeota	0.003802127573514541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031750063500127	0.0	0.0	0.0
D_0__Bacteria;D_1__Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009327979884008598	0.0	0.0	0.004086302713305002	0.000762001524003048	0.006765450545801685	0.0	0.0
D_0__Bacteria;D_1__Marinimicrobia (SAR406 clade)	0.0	0.0	0.0	0.0	0.0016573692295254266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Patescibacteria	0.0	0.00011999520019199232	0.0006791035832700835	0.0009664559255828937	0.0	0.0019289503295290146	0.0	0.001581700936853632	0.0	0.0028905214982536433	0.005067015364498202	0.010329353992041317	0.08384177977005769	0.0008570728920088156	0.0
D_0__Bacteria;D_1__Planctomycetes	0.007482910650002022	0.007839686412543498	0.03167818479606919	0.0004429589658921596	0.0003638127577007034	0.004621443497829931	0.01821537473920719	0.004420651336334509	0.004695215737067919	0.0008430687703239793	0.0009807126511932004	0.01634069934806536	0.0007886107998173744	0.007836095012652028	0.01247275369338823
D_0__Bacteria;D_1__Proteobacteria	0.6739068883226146	0.8685252589896404	0.47788918627411814	0.6471630491684452	0.5698116258387905	0.5966484488024434	0.7328277965013641	0.6124021576023037	0.8848053104509026	0.9304668995142318	0.38092513893429225	0.44831089662179324	0.47121570580666583	0.5388539711043996	0.8886736094292403
D_0__Bacteria;D_1__Spirochaetes	0.0	0.0	0.0	8.053799379857447e-05	0.0	0.0025317473075068316	0.0	0.0	0.0	0.00032116905536151594	0.003922850604772802	0.001143002286004572	0.019839787490142365	0.0	0.0
D_0__Bacteria;D_1__Tenericutes	0.0	0.0	0.0	0.0	0.0	0.024553930236296415	0.0	0.00044612077706128076	0.0	0.0	0.0	0.0	0.00024903498941601296	0.0	0.0
D_0__Bacteria;D_1__Verrucomicrobia	0.0	0.0	0.0	0.0	0.0	0.0036167818678669024	0.0031295137217140106	0.0	0.0	0.0	0.0038002615233736514	0.02590805181610363	0.005769310588137633	0.0012243898457268794	0.0
D_0__Bacteria;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008499959524002267	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Unassigned	0.31157222019981395	0.093876244950202	0.46390764191267525	0.25796319413683405	0.3796184008408117	0.3123693939881048	0.21220510351468463	0.270876424544754	0.0927305108070914	0.05403669356457505	0.3394491663942465	0.26039285411904156	0.1521188727016146	0.26152967104726144	0.07148623556954872
