	MH1	MH2	MH3	MH4	MH5	MWS.H1	MWS.H2	MWS.H3	MWS.H4	MWS.H5	MWS1	MWS2	MWS3	MWS4	MWS5
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Blastocatellales	-16.0	-16.0	-16.0	-9.92160607883143	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia;D_3__Thermoanaerobaculales	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-10.683792137486554	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-12.318260343712415	-16.0	-8.030102787424445
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales	-16.0	-9.0412134332055	-5.557278942035442	-4.697858377882971	-10.320706546924225	-16.0	-8.617283787779035	-5.320163722501156	-9.094624874319967	-11.20230751693695	-12.980585887013447	-16.0	-12.318260343712415	-12.558261255402694	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales	-16.0	-16.0	-16.0	-16.0	-9.382107091588367	-16.0	-16.0	-16.0	-9.130248784050687	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales	-16.0	-16.0	-9.252665432450248	-7.349354629859828	-16.0	-16.0	-10.801708358916462	-7.886017400274607	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-10.78909468792065
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales	-16.0	-7.7395577333444	-7.285832296385448	-7.49710825030352	-9.735744046203068	-7.321169469333497	-16.0	-9.61038295766118	-6.690625646493571	-11.939273111103155	-12.395623386292291	-16.0	-16.0	-9.098829636765398	-7.9976813097320685
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Pseudonocardiales	-16.0	-7.621988136963224	-9.712097051087547	-16.0	-16.0	-9.255281533677039	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-9.05168661192481	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Rubrobacteria;D_3__Rubrobacterales	-16.0	-16.0	-16.0	-16.0	-8.098314125587775	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales	-16.0	-16.0	-7.904742129029942	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales	-16.0	-16.0	-16.0	-16.0	-10.446237429008082	-8.975173614484305	-16.0	-10.81201681883083	-16.0	-10.276308098380726	-8.395623386292291	-16.0	-6.188977326767449	-16.0	-8.046590910213014
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales	-9.80701590312974	-11.145550093020237	-16.0	-11.169533592275016	-8.17774859308218	-6.397300538549468	-16.0	-8.924491548089243	-16.0	-10.000673655767297	-2.0568870037183755	-5.883221201096283	-6.8753168478636875	-8.212486418560966	-9.13198240144366
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales	-16.0	-7.673062321557493	-16.0	-8.614944740597378	-7.335813439314432	-8.307748953571176	-16.0	-7.41969939605207	-16.0	-12.939273111103155	-8.336729697238724	-4.283710391805973	-6.725803306444336	-9.619661800066838	-7.31960940461943
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales	-9.247588494515721	-11.008046569270302	-7.285832296385448	-4.532908971731367	-6.205229329504288	-6.314443606145184	-10.261139977553759	-4.583198128334949	-10.644821956880447	-7.257449071129409	-2.827667310876825	-2.4546912629473803	-2.7670327401141277	-2.0984881300669422	-10.030102787424445
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales	-16.0	-16.0	-8.75790074070067	-16.0	-16.0	-16.0	-16.0	-7.944120354838176	-16.0	-16.0	-16.0	-10.633242948087936	-16.0	-9.28524276099628	-16.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;__	-16.0	-16.0	-16.0	-16.0	-9.446237429008082	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-10.558261255402694	-16.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria;D_3__Ignavibacteriales	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-9.73329784299126	-16.0	-16.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Anaerolineales	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-9.886017400274607	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Ardenticatenales	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-7.339529047368086	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96;D_3__uncultured bacterium	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-9.27596391859062	-16.0	-16.0	-16.0	-10.633242948087936	-16.0	-16.0	-9.241606892618158
D_0__Bacteria;D_1__Cloacimonetes;D_2__Cloacimonadia;D_3__Cloacimonadales	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-8.925942920933656	-16.0	-16.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales	-16.0	-16.0	-16.0	-13.169533592275016	-7.382107091588367	-16.0	-16.0	-16.0	-16.0	-16.0	-11.173230964955843	-4.194829110719722	-13.318260343712415	-8.973298754681538	-7.803033878878525
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Oxyphotobacteria Incertae Sedis	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-8.44278403798276	-16.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Phormidesmiales	-16.0	-16.0	-16.0	-7.599677983944068	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-9.392234848584142	-16.0	-8.785671751505767	-16.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales	-9.010549297214872	-8.338195170962633	-12.12713455036639	-8.710101973637718	-5.624898277514777	-5.418780265959919	-5.093721831722021	-10.548982412997036	-9.644821956880447	-16.0	-9.336729697238724	-9.844747053281647	-9.996332248825054	-9.28524276099628	-16.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;__	-16.0	-16.0	-16.0	-16.0	-8.233243705673884	-16.0	-16.0	-16.0	-16.0	-16.0	-11.980585887013447	-16.0	-8.460279348584844	-9.098829636765398	-10.241606892618158
D_0__Bacteria;D_1__Dependentiae;D_2__Babeliae;D_3__Babeliales	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-10.285319644667629	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria;D_3__Campylobacterales	-16.0	-11.467478187907599	-16.0	-10.847605497387654	-16.0	-16.0	-16.0	-10.133944913718192	-14.452176878938051	-8.394952594879344	-8.252665432450248	-10.507712066004078	-3.123503489290168	-10.821295661236489	-10.402071564811404
D_0__Bacteria;D_1__Fibrobacteres;D_2__Chitinivibrionia;D_3__Chitinivibrionales	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-7.379057411554724	-16.0	-16.0	-16.0	-16.0	-8.3409804202125	-16.0	-16.0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales	-16.0	-6.495934633956827	-7.757900740700671	-6.221166360690338	-6.454457935813051	-5.853183090105694	-9.091214976111447	-4.573612079505751	-8.670817165413391	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales	-16.0	-10.467478187907599	-16.0	-7.829683589390391	-8.81820620639504	-16.0	-16.0	-7.504588293638583	-9.992745260300753	-16.0	-8.280146168872356	-16.0	-16.0	-9.44278403798276	-10.489534406061743
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales	-16.0	-16.0	-16.0	-8.67768049594534	-8.583740952758017	-16.0	-9.306943667166884	-9.61038295766118	-16.0	-16.0	-16.0	-7.5691126106682205	-8.960708339094332	-9.558261255402694	-16.0
D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia;D_3__Fusobacteriales	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-9.939211882666397	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Longimicrobia;D_3__Longimicrobiales	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-8.306943667166884	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Kiritimatiellaeota;D_2__Kiritimatiellae;D_3__Kiritimatiellales	-9.662625993794565	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0
D_0__Bacteria;D_1__Kiritimatiellaeota;D_2__Kiritimatiellae;D_3__WCHB1-41	-7.865118857693307	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-16.0	-7.863855876229353	-16.0	-16.0	-16.0
